evenement,lieu,moment,individus,texte
mouvement d’un objet sans cause mécanique,"107 boulevard de la Liberté, Barentin",31/08/2019,un agent immobilier,"Un fait divers a marqué les esprits. 107 boulevard de la Liberté, Barentin serait le le point de départ de l'incident. On évoque 31/08/2019 comme repère temporel. un agent immobilier a été identifié comme partie prenante."
blessure due à un meuble mal fixé,,2023,,Un incident non élucidé a été rapporté. La période de 2023 est mentionnée.
décrochage d’un panneau suspendu,boulevard Gambetta,le 19/02/2005 à 05h49,"une vieille dame, Nina, une juge, le collègue de travail","Un événement troublant a eu lieu. C’est dans les environs de boulevard Gambetta que les faits se sont produits. le 19/02/2005 à 05h49 correspondrait à la période des faits. une vieille dame, Nina, une juge, le collègue de travail semble impliqué d’une manière ou d’une autre."
explosion d’un aérosol,boulevard du Général Leclerc,10/2023,"un garagiste, le mari de Marie","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent boulevard du Général Leclerc comme contexte géographique. Le déroulement aurait eu lieu à 10/2023. La situation aurait impliqué un garagiste, le mari de Marie."
étagère tombée dans un magasin,mairie,,"la sœur, une juge, un résident, la femme de Julien","Un fait divers a marqué les esprits. Les informations pointent vers mairie. la sœur, une juge, un résident, la femme de Julien figure dans les rapports initiaux."
menaces verbales en pleine rue,"chemin Gambetta, Vire",18 juin,"un tiers, Maxime Fontaine, le neveu, le frère","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de chemin Gambetta, Vire. 18 juin : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un tiers, Maxime Fontaine, le neveu, le frère est évoquée."
enclenchement d’un mécanisme d’urgence,gare routière,mercredi,un résident,"Un événement troublant a eu lieu. La scène s’est produite à gare routière. Le moment exact reste flou, mais cela remonterait à mercredi. un résident aurait été directement concerné."
injures sexistes répétées,avenue des Peupliers,07/2025,"Julien Perrin, Lucas Dupont","Une dispute verbale a troublé l’atmosphère. On localise les faits dans la zone de avenue des Peupliers. Les faits datent de 07/2025, d'après certaines sources. La présence de Julien Perrin, Lucas Dupont est signalée sur les lieux."
chute d’une planche de bois,21056,11/2025,"un notaire, une connaissance","Un fait divers a marqué les esprits. 21056 serait le le point de départ de l'incident. On évoque 11/2025 comme repère temporel. un notaire, une connaissance a été identifié comme partie prenante."
jets de bouteilles en verre,Lorraine,à minuit,"un employé de mairie, une voisine, un voisin, un homme, le neveu, un employé de mairie, un jeune homme","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Lorraine. La période de à minuit est mentionnée. Des témoignages font état de un employé de mairie, une voisine, un voisin, un homme, le neveu, un employé de mairie, un jeune homme."
blessure due à un meuble mal fixé,"199 boulevard Paul Bert, Sarlat",,"un menuisier, Emma Marchand","Un événement troublant a eu lieu. C’est dans les environs de 199 boulevard Paul Bert, Sarlat que les faits se sont produits. un menuisier, Emma Marchand semble impliqué d’une manière ou d’une autre."
chant à voix haute en pleine nuit,"102 boulevard Gambetta, Nyons",,,"Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 102 boulevard Gambetta, Nyons comme contexte géographique."
insultes échangées sur la voie publique,35688,janvier 2017,,"Un fait divers a marqué les esprits. Les informations pointent vers 35688. Ce moment précis : janvier 2017, revient souvent."
vol de colis dans un hall d’immeuble,Lorraine,,une pharmacienne,Une effraction semble avoir été perpétrée. Tout se serait déroulé autour de la Lorraine. Une implication possible de une pharmacienne est évoquée.
agression verbale dans un lieu public,"26 boulevard du Général Leclerc, Millau",le 22/02/2019 à 00h05,"Marie Lemoine, un menuisier","Un événement troublant a eu lieu. La scène s’est produite à 26 boulevard du Général Leclerc, Millau. Le moment exact reste flou, mais cela remonterait à le 22/02/2019 à 00h05. Marie Lemoine, un menuisier aurait été directement concerné."
déclenchement d’un gicleur anti-incendie,Louhans,19 juin de l’année 2025,"Gabriel Perrin, un résident, Claire, un avocat, le mari de Marie","Un feu s’est déclenché de manière inattendue. On localise les faits dans la zone de Louhans. Les faits datent de 19 juin de l’année 2025, d'après certaines sources. La présence de Gabriel Perrin, un résident, Claire, un avocat, le mari de Marie est signalée sur les lieux."
résidu collant sous un meuble fixe,10564,,"Nathan Perrin, Nathan","Un fait divers a marqué les esprits. 10564 serait le le point de départ de l'incident. Nathan Perrin, Nathan a été identifié comme partie prenante."
usage frauduleux de badge d’accès,"statue de Jeanne d’Arc, Forbach",12/2024,Sophie,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme statue de Jeanne d’Arc, Forbach. La période de 12/2024 est mentionnée. Des témoignages font état de Sophie."
dispute de couple sur la voie publique,"38 boulevard de la Liberté, Tulle",octobre 2013,"un habitant, Alice Hubert, Paul","Un événement troublant a eu lieu. C’est dans les environs de 38 boulevard de la Liberté, Tulle que les faits se sont produits. octobre 2013 correspondrait à la période des faits. un habitant, Alice Hubert, Paul semble impliqué d’une manière ou d’une autre."
glissade sur feuilles mortes,Mayotte,lundi,"Girard, un médecin","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Mayotte comme contexte géographique. Le déroulement aurait eu lieu à lundi. La situation aurait impliqué Girard, un médecin."
traînée noire sur chaussée,Hauts-de-France,27 juin 2020,,"Un fait divers a marqué les esprits. Les informations pointent vers Hauts-de-France. Ce moment précis : 27 juin 2020, revient souvent."
résonance anormale d’un objet suspendu,la salle de bain,mardi 10 avril 2018,un agent immobilier,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la salle de bain. mardi 10 avril 2018 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un agent immobilier est évoquée.
désaccord houleux en terrasse de café,"116 rue Gambetta, Digne-les-Bains",12h et 30 minutes,"un journaliste, Antoine Picard","Un événement troublant a eu lieu. La scène s’est produite à 116 rue Gambetta, Digne-les-Bains. Le moment exact reste flou, mais cela remonterait à 12h et 30 minutes. un journaliste, Antoine Picard aurait été directement concerné."
projection de liquide chaud,Pays de la Loire,,une infirmière,Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Pays de la Loire. La présence de une infirmière est signalée sur les lieux.
pulsation lumineuse à travers une fente,41970,,"un individu, Mathis","Un fait divers a marqué les esprits. 41970 serait le le point de départ de l'incident. un individu, Mathis a été identifié comme partie prenante."
rupture d'une canalisation,Bouches-du-Rhône,15 août de l’année 2021,Paul Renard,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Bouches-du-Rhône. La période de 15 août de l’année 2021 est mentionnée. Des témoignages font état de Paul Renard.
déchirure volontaire d’une affiche,Champagne-Ardenne,,"un notaire, un habitant, un homme, un enseignant, une connaissance, un agent immobilier, le fiancé","Des objets ont mystérieusement disparu. C’est dans les environs de Champagne-Ardenne que les faits se sont produits. un notaire, un habitant, un homme, un enseignant, une connaissance, un agent immobilier, le fiancé semble impliqué d’une manière ou d’une autre."
tentative de vol à main armée,arc de triomphe régional,,"un chauffeur de taxi, une amie, un individu, Nina Chevalier","Un acte de vol a été commis discrètement. Plusieurs sources mentionnent arc de triomphe régional comme contexte géographique. La situation aurait impliqué un chauffeur de taxi, une amie, un individu, Nina Chevalier."
cliquetis intermittent entendu depuis un conduit,gare routière,,,Un fait divers a marqué les esprits. Les informations pointent vers gare routière.
plainte orale à propos d’odeurs de cuisine,"65 impasse du Général Leclerc, Mayenne",février,"une infirmière, Lucas Lemoine","Des mots durs ont fusé, choquant plusieurs personnes. Tout se serait déroulé autour de 65 impasse du Général Leclerc, Mayenne. février : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une infirmière, Lucas Lemoine est évoquée."
apparition d’un symbole inconnu sur un écran,"132 avenue de l’Égalité, Carpentras",,"un enseignant, un tiers","Un événement troublant a eu lieu. La scène s’est produite à 132 avenue de l’Égalité, Carpentras. un enseignant, un tiers aurait été directement concerné."
variation de couleur sur un mur peint,terrain de pétanque,le 6 novembre à 19h40,Paul Adam,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de terrain de pétanque. Les faits datent de le 6 novembre à 19h40, d'après certaines sources. La présence de Paul Adam est signalée sur les lieux."
fluctuation rapide de température ressentie,école communale,8,Nathan,Un fait divers a marqué les esprits. école communale serait le le point de départ de l'incident. On évoque 8 comme repère temporel. Nathan a été identifié comme partie prenante.
activation d’un détecteur de mouvement sans présence visible,boulevard des Lilas,,une amie,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme boulevard des Lilas. Des témoignages font état de une amie.
trace de morsure sur une matière souple,statue de Jeanne d’Arc,2021,"un journaliste, un voisin","Un événement troublant a eu lieu. C’est dans les environs de statue de Jeanne d’Arc que les faits se sont produits. 2021 correspondrait à la période des faits. un journaliste, un voisin semble impliqué d’une manière ou d’une autre."
collision entre piétons en courant,Vire,,"une juge, un jeune homme, une amie","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Vire comme contexte géographique. La situation aurait impliqué une juge, un jeune homme, une amie."
